filename,deepzoom_hash,title,gallery
1.1.jpg,c95de6cb35df51dbf8c2219895e68480,"E. G. White portrait (oval), c. 1859, (H. C. White, photographer, Monroe, Wis.)",People
1.2.jpg,9fe115ab67b1a2f44989cc51539647a7,"E. G. White portrait (oval), c. 1859, (H. C. White, photographer, Monroe, Wis.)",People
10.1.jpg,858b4763c723aad3f46f95c74a60e262,"E. G. White portrait, c. 1875, (Dunham & Bluett's, Oakland, Cal.)",People
10.2.jpg,4e30f3bedf3b3376b9a7975a4504e73c,"E. G. White portrait, c. 1875, (Dunham & Bluett's, Oakland, Cal.)",People
100.1.1.jpg,6d3107de7ede206a46b446c65a1448f3,"E-Mail with some information with details to the grave of J. N. Andrews and J. H. Waggoner. Page 1 <|>""Friedhof"" is the german word for cemetery; J. N. Andrews died in October 1883 and was buried at the Basel Kannenfeld Friedhof without any memorial stone; In 1889 some Adventist leaders decided to put a memorial stone in Kannenfeld Friedhof; You ancestor Joseph Waggonner came from the USA and worked at the Adventist publishing house in Basel at this time; In April 1889, he finished his book ""From Paradies to Paradies"" and wanted to publish it in London; The night before his trip to London he died and was discovered in the following morning; Joseph was buried next to John Andrews in Kannenfeld Friedhof; His name appeared on the same memorial stone as it was the same year 1889 when the stone was erected; In the 1950s Kannenfeld Friedhof was destroyed; Unfortunately the Swiss people generally do not use to keep the bones more than 30 years in their cemeteries. Unless the grave belong to rich families: it is called ""perpetual concession""; At this time the Adventist leaders were totally unable to find the bones of their pioneers, Andrews, Waggonner and other people such as Andrews daughter, Edith died in 1885; They founded the original stone that had been transferred in Wolf Friedhof cemetery, a famous on in Basel. The fact that it had been transferred reveals that this stone had been considered as an important one by the people in charge of the cemeteries in Basel. Maybe because on the size: 2 meters high, that is normal today, yet not in the 1950s in Basel. It is here in Wolf Friedhof you may see the memorial stone in 2006.  <|>",People
100.1.2.jpg,0bacd527f29735b9562e5d37b6995380,E-Mail with some information with details to the grave of J. N. Andrews and J. H. Waggoner. Page 2,People
100.1.3.jpg,c33f196af585935aa27138ba3637e8e1,Plan of cemetery in Basel. Plots for J. H. Waggoner and J. N. Andrews,People
100.1.4.jpg,fe4a1b770d5837fc8f2c8ebbd601eede,"Map of Basel. Location of cemetery ""der Wolfgottesacker"", where grave of J. H. Waggoner and J. N. Andrews is located       ",People
100.1.5.jpg,0c18527e0b02372dfed6d671e288f2e5,Map of Basel,People
100.1.6.jpg,d20d1fc1f834a014d589ff08c601685c,Gravestone of J. N. Andrews,People
100.1.7.jpg,82ba932a731d702771bec09a3685c44c,Gravestone of J. N. Andrews,People
100.1.8.jpg,f458e5f1cb014ac08c40d8bff13f14c4,Gravestone of J. H. Waggoner,People
100.10.jpg,60cde5bf0b07555bde170b4ec7778968,"J. N. Andrews' daughter ?, taken by Torre Pellice",People
100.11.1.jpg,c4f11d14b40fcf5d1cf1e1b9adcfeab5,J. N. Andrews' family,People
100.11.2.jpg,6a2a232bf17f0065b04bd43eb27ed116,"J. N. Andrews, Battle Creek, Mich.",People
100.11.3.jpg,8a996a9f309f142c79f500ce72ad2226,"J. N. Andrews, Battle Creek, Mich.",People
100.13.1.jpg,9b9f3bf131699daa731e4e6161f52462,J. N. Andrews,People
100.13.2.jpg,a42268849678739c04848b48a34ea832,"Four generations of Missionaries; Left to Right: J. N. Andrews, Charles M. Andrews, Dr. J. N. Andrews and Bobbie Andrews",People
100.14.jpg,774f940a6b91f211ef8c01caded4535d,"J. N. Andrews ""The Health Reformer""",People
100.15.1.jpg,5e231239307d91e929bcee102c5e47c0,"Grave of J. N. Andrews, Basel, Switzerland",People
100.15.2.jpg,3de70500f0dc8ddfc5c7eaad14a56bb2,J. N. Andrews & family before their journey to europe ? - illustrated,People
100.16.jpg,8d81afe49d21b9f520e0531ce20cc640,Mary Andrew,People
100.2.jpg,4b4b26b0035ebe087699bb65567ee412,J. N. Andrews,People
100.3.jpg,07554519d1d2b9d7e124a91c44d09b59,"Grave of J. N. Andrews, Basel, Switzerland",People
100.4.jpg,0bbf4426caafdae7d02c433a0a3a3917,J. N. Andrews,People
100.5.1.jpg,10514a7934090494b631731f892ab7d0,J. N. Andrews & Family,People
100.5.2.jpg,d121466de9d3a022d969de26b31079df,"J. N. Andrews & Family, taken by Photo Artist, Battle Creek, Mich.",People
100.5.3.jpg,d9c3bc4bb45bec24cb181ef1a9c35baf,"J. N. Andrews & Family, Battle Creek, Mich.",People
100.5.4.jpg,d92cfdf13575ca6c639003690715d5e7,"J. N. Andrews & Family, taken by Photo Artist, Battle Creek, Mich.",People
100.5.5.jpg,9ee9e104c5b66871427cacdd4cc16a3f,"J. N. Andrews & Family, taken by Taeschler Photograph, Basel",People
100.7.jpg,d1b7d20e9296c012de9bf78a729f5090,"Grave of Edwin J. Andrews, born: May 12, 1990 died: July 19, 1915; He was the son of T. N. Andrews. Killed by hght ming in front of the A. C. Building;",People
100.8.jpg,c3843a08e3ef5a65a7f4371a5d1efdc9,J. N. Andrews & Family,People
100.9.jpg,8fc8a3cce4c5e32eca9fdc9c702b151a,"J. N. Andrews, Battle Creek, Mich.",People
101.1.1.1.jpg,44303d4915a1ea069ea413ff4cdc8813,Second stopping place of Eld. Andrews at La Coudre near Neuchatel 1875-1876,People
